k1,k2,k3,cost,success,ier,mesg,X0,k_HO2_wall,k_OH_wall,S_HO2,S_OH
2.0788897301645366e-12,1.0405485098544429e-10,1.6950057119720724e-12,1561697.29112,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4360661576753.0337,3.6321285463004833,12.764971759102348,2.3459807806190804e-10,3.705759954426671e-11
2.002658865257976e-12,9.066893307951432e-11,1.6689014991242885e-12,1548556.14867,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000,4456490337936.213,3.5271979443819332,12.033197212647593,2.254331388143241e-10,3.5352015813251175e-11
2.111110529503814e-12,1.068362896899251e-10,1.343887109489784e-12,1558708.43496,True,2,The relative error between two consecutive iterates is at most 0.000000,4655330657003.935,4.2416355019926915,11.723848938860394,2.1961599694547274e-10,3.514336901127767e-11
1.8495836020363316e-12,1.1641089320631819e-10,1.7115880076230296e-12,1551875.77831,True,2,The relative error between two consecutive iterates is at most 0.000000,4376080771448.9175,3.8872716849394005,12.089714615693728,2.492594719868954e-10,3.49674636539525e-11
1.6923668594334496e-12,1.3937609411480737e-10,1.326269976010251e-12,1540963.5339,True,2,The relative error between two consecutive iterates is at most 0.000000,4568636655594.957,5.462479601036459,9.288320914220865,2.6125888865501513e-10,3.246675925169158e-11
1.447521280987598e-12,9.433296205706584e-11,1.530757603936354e-12,1523671.31972,True,2,The relative error between two consecutive iterates is at most 0.000000,4759271877182.862,4.535149014075287,11.545109659312358,2.3914764262629894e-10,2.800349586098614e-11
1.914536641008975e-12,1.2554372860172617e-10,1.7179746945685383e-12,1556195.55028,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000,4521809397155.455,3.7082180126072135,13.749492882177323,2.4686749288834857e-10,3.4503637236537346e-11
2.2631422547343025e-12,1.2294955261304557e-10,1.4105252181483094e-12,1572352.22372,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000,4526769612169.054,4.439453117339955,10.207046272251665,2.2973047707603912e-10,3.757533093881863e-11
1.8131799892699187e-12,1.064230726154328e-10,1.5513227867825702e-12,1545002.02669,True,2,The relative error between two consecutive iterates is at most 0.000000,4605677794914.472,3.527274115217673,15.78678012051069,2.3228542765673204e-10,3.2912560021757503e-11
2.0103949842739705e-12,1.0748839484825107e-10,1.5536677827577464e-12,1550963.99238,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000,4550929776127.07,3.742897204211603,10.359503736136919,2.288064524268905e-10,3.504782701255026e-11
1.3440566119233359e-12,1.0225779225912813e-10,1.7473866245500925e-12,1527899.66528,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000,4598269604162.886,4.105619457249883,9.478867220921588,2.582135991963252e-10,2.7902998571906534e-11
