t-data,H2O2-data,HO2-data,OH-data,t-model,H2O2-model,HO2-model,OH-model
46.60000000000001,5904.0,481.85,-0.82,46.60000000000001,5990.3041000835,414.8163540360362,7.122660903834978e-06
46.8,5961.0,480.85,-0.82,46.80000000000001,5990.291494860568,414.2127468847023,7.000721558825731e-06
47.0,5996.0,484.85,-0.82,47.000000000000014,5990.25234161083,413.75193984599025,6.8813816498502895e-06
47.2,5941.0,521.85,-0.82,47.20000000000002,5990.2079664567555,413.31199930523076,6.764574934947063e-06
47.400000000000006,5991.0,468.85,1.18,47.40000000000002,5990.179476593985,412.7881950009487,6.650237134094566e-06
47.60000000000001,5937.0,489.85,0.18,47.60000000000001,5990.1647075179,412.19525338407993,6.538305863051262e-06
47.8,5925.0,436.85,0.18,47.80000000000001,5990.152027460017,411.59674482459263,6.428720569695973e-06
48.0,6020.0,474.85,0.18,48.000000000000014,5990.112838925759,411.13871090841565,6.321422472764296e-06
48.2,5842.0,435.85,1.18,48.20000000000002,5990.068436330455,410.7012109209375,6.216354502881116e-06
48.400000000000006,5998.0,470.85,1.18,48.40000000000002,5990.039895588736,410.1812249463958,6.113461245793897e-06
48.60000000000001,6027.0,417.85,-0.82,48.60000000000001,5990.025055498888,409.59323767195747,6.012688887716009e-06
48.8,5834.0,484.85,-0.82,48.80000000000001,5990.012301463573,408.9997816515343,5.913985162693116e-06
49.0,6017.0,494.85,1.18,49.000000000000014,5989.973077799104,408.54451843934044,5.817299301909755e-06
49.2,5978.0,460.85,-0.82,49.20000000000002,5989.928647778924,408.10946273332485,5.722581984856943e-06
49.400000000000006,6098.0,489.85,2.18,49.40000000000002,5989.9000565953165,407.593272749269,5.6297852922851785e-06
49.60000000000001,5924.0,464.85,-0.82,49.60000000000001,5989.88514628896,407.0101960341491,5.53886266087052e-06
49.8,5929.0,455.85,-0.82,49.80000000000001,5989.872319128565,406.42174678591545,5.449768839524668e-06
50.0,6068.0,475.85,1.18,50.000000000000014,5989.833060504105,405.9692509159736,5.3624598472833194e-06
50.2,5985.0,478.85,0.18,50.20000000000002,5989.788603097839,405.53664197501627,5.27689293270932e-06
50.400000000000006,5947.0,483.85,1.18,50.40000000000002,5989.759961920884,405.0242250290092,5.193026534750122e-06
50.60000000000001,5989.0,413.85,-0.82,50.60000000000001,5989.744982198157,404.44601494986495,5.11082024499253e-06
50.8,5877.0,420.85,0.18,50.80000000000001,5989.732082759689,403.86252695061114,5.0302347712590665e-06
51.0,5995.0,441.85,0.18,51.000000000000014,5989.692789319202,403.41279608417693,4.951231902492993e-06
51.2,5939.0,466.85,0.18,51.20000000000002,5989.648304530622,402.98263776141033,4.873774474881895e-06
51.400000000000006,6019.0,459.85,1.18,51.40000000000002,5989.619613778577,402.47397215625097,4.797826339171458e-06
51.60000000000001,5910.0,471.85,1.18,51.60000000000001,5989.6045654143245,401.9005859150974,4.723352329122616e-06
51.8,6048.0,454.85,-0.82,51.80000000000001,5989.591594534463,401.3220140436604,4.650318231068232e-06
52.0,6031.0,441.85,0.18,52.000000000000014,5989.552266472219,400.8750432326366,4.578690754526772e-06
52.2,6032.0,422.85,0.18,52.20000000000002,5989.507754372571,400.44733608225465,4.508437503832315e-06
