t,H2O2,OH,HO2
35.99999999999999,520744647123254.7,841504.6080161342,1706859584841.6829
36.199999999999996,520740816324107.1,822855.7273124965,1705066386098.1763
36.4,520738391203138.5,804720.990997164,1702885030683.1375
36.599999999999994,520737180107436.8,787083.4692001729,1700383667397.097
36.8,520736153756698.0,769926.8794240732,1697856175740.2856
36.99999999999999,520732782043258.0,753235.5583818827,1695977471328.3477
37.199999999999996,520728948958472.6,736994.4352071132,1694193224886.2063
37.4,520726519050913.9,721189.0059619173,1692027384506.823
37.599999999999994,520725301020228.3,705805.3093737892,1689546947795.894
37.8,520724267415122.5,690829.9037353008,1687040857922.5022
37.99999999999999,520720892578680.6,676249.8449052094,1685172714317.8647
38.199999999999996,520717057187092.2,662052.6653528404,1683397485334.3179
38.4,520714622519264.6,648226.3541910088,1681247096851.4905
38.599999999999994,520713397620717.6,634759.338145892,1678787417737.918
38.8,520712356835267.2,621640.4634152106,1676302549788.0217
38.99999999999999,520708978875149.5,608858.978368841,1674444992500.6978
39.199999999999996,520705141161846.7,596404.5170485831,1672678834728.688
39.4,520702701764213.8,584267.0834262327,1670543828211.4993
39.599999999999994,520701470067202.9,572437.036381407,1668104734807.812
39.8,520700422176323.5,560905.0753627082,1665640908420.2925
39.99999999999999,520697041091070.1,549662.2266978358,1663793963876.4067
40.199999999999996,520693201039672.1,538699.8305201489,1662036932813.6733
40.39999999999999,520690756941383.9,528009.5282809653,1659917240579.516
40.599999999999994,520689518514202.2,517583.25081856194,1657498563545.0283
40.8,520688463592781.9,507413.2069564128,1655055598918.2524
40.99999999999999,520685079385629.4,497491.87260469096,1653219284351.9946
41.199999999999996,520681236985683.1,487811.98034045275,1651471424330.5247
41.39999999999999,520678788219728.2,478366.5094432404,1649366972098.7842
41.599999999999994,520677543132630.2,469148.67636407714,1646968539387.014
41.8,520676481256297.0,460151.92560699594,1644546256124.9797
41.99999999999999,520673093930290.1,451369.9210033434,1642720588353.9028
42.199999999999996,520669249170654.1,442796.5373601352,1640981943890.279
42.39999999999999,520666795769186.8,434425.85246472014,1638892658580.885
42.599999999999994,520665544091535.3,426252.1394289305,1636514300078.9065
42.8,520664475335509.9,418269.8593567654,1634112518802.897
42.99999999999999,520661084895720.2,410473.65432047844,1632297509957.267
43.199999999999996,520657237767881.5,402858.34063071257,1630568119820.7551
43.39999999999999,520654779764525.3,395418.9023870588,1628493925510.6353
43.599999999999994,520653521566086.1,388150.4852961096,1626135470793.9624
43.8,520652446005829.7,381048.3907447235,1623754012110.1636
43.99999999999999,520649052459840.1,374108.0701168474,1621949669056.2163
44.19999999999999,520645202958234.3,367325.11934281135,1620229566047.6362
44.39999999999999,520642740388226.7,360695.2736705775,1618170383948.7656
44.599999999999994,520641475739322.1,354214.40264893713,1615831662060.4766
44.8,520640393450388.1,347878.50531314744,1613470346690.0193
45.0,520636996805965.9,341683.70556396653,1611676674750.7195
45.19999999999999,520633144925131.2,335626.24773148785,1609965890014.7966
45.39999999999999,520630677823502.9,329702.49231559475,1607921640984.5579
45.599999999999994,520629406793909.2,323908.9118952511,1605602481898.3516
45.8,520628317851739.5,318242.08719921985,1603261130739.2878
46.0,520624918120149.3,312698.70333116123,1601478127612.9058
46.19999999999999,520621063859121.5,307275.54614239273,1599776682959.478
46.39999999999999,520618592263772.0,301969.4987459214,1597747282225.4443
46.599999999999994,520617314924684.0,296777.5381656549,1595447513412.4639
46.8,520616219404988.4,291696.7321149899,1593125947051.8865
47.0,520612816595761.4,286724.235899249,1591353613111.618
47.19999999999999,520608959950695.2,281857.2894366948,1589661535169.0576
47.39999999999999,520606483896489.5,277093.21439309436,1587646903781.4497
47.599999999999994,520605200316025.2,272429.41142504604,1585366359231.5122
47.8,520604098292243.7,267863.35752749664,1583064403140.1548
48.0,520600692416914.6,263392.6034810917,1581302734043.2847
48.19999999999999,520596833387535.6,259014.77139519714,1579620041662.5952
48.39999999999999,520594352911757.5,254727.5523426203,1577620095604.1292
48.599999999999994,520593063159561.4,250528.70408224795,1575358606160.2886
48.8,520591954706325.0,246416.04886598108,1573076083103.6274
49.0,520588545777603.8,242387.47132650545,1571325070801.0823
49.19999999999999,520584684364539.0,238440.916442607,1569651779572.7712
49.39999999999999,520582199504788.2,234574.3875788867,1567666433377.5261
49.599999999999994,520580903650086.9,230785.9445968442,1565423830518.862
49.8,520579788841454.8,227073.7020344669,1563160564492.4053
50.0,520576376873614.1,223435.82735157182,1561420197857.7234
50.19999999999999,520572513079452.2,219870.53923826996,1559756319836.0386
50.39999999999999,520570023874059.5,216376.10598403597,1557785487179.679
50.599999999999994,520568721985918.0,212950.8439049838,1555561603323.2876
50.8,520567600895621.2,209593.11582704674,1553317418987.448
51.0,520564185903544.1,206301.32962285992,1551587683289.8315
51.19999999999999,520560319731678.8,203073.93680024182,1549933226124.3145
51.39999999999999,520557826219190.0,199909.43114025946,1547976818526.1218
51.599999999999994,520556518366310.2,196806.34738294844,1545771485986.9116
51.8,520555391067539.8,193763.25995884178,1543546208808.3677
52.0,520551973066568.0,190778.78176453948,1541827088638.8325
52.19999999999999,520548104521003.4,187851.56298062592,1540182059357.499
52.39999999999999,520545606739899.7,184980.28993031336,1538239989107.5376
52.599999999999994,520544292990365.6,182163.6839772567,1536053042031.7878
52.8,520543159555714.4,179400.50046105267,1533846498883.2869
53.0,520539738562075.5,176689.52766899578,1532137975897.357
53.19999999999999,520535867648026.6,174029.58584272413,1530502377811.6484
53.39999999999999,520533365637189.4,171419.52621844172,1528574555731.6812
53.599999999999994,520532046058781.7,168858.23009946363,1526405828679.8574
53.8,520530906560160.1,166344.60795987744,1524217847719.6724
54.0,520527482589349.6,163877.59857816485,1522519904459.2402
54.19999999999999,520523609311169.4,161456.16819967426,1520893742011.8667
54.39999999999999,520521103108405.0,159079.3097268799,1518980080838.0742
54.599999999999994,520519777767667.3,156746.0419364079,1516829410891.2327
54.8,520518632276474.5,154455.40872184845,1514659821074.5112
55.0,520515205347515.5,152206.47836141396,1512972431424.685
55.19999999999999,520511329714153.1,149998.34280953993,1511355698412.6396
55.39999999999999,520508819360059.2,147830.11701156263,1509456104604.5579
55.599999999999994,520507488324716.8,145700.93824063937,1507323326277.0586
55.8,520506336912429.0,143609.9654561136,1505171956325.9624
56.0,520502907043364.2,141556.37868255554,1503495095471.7534
56.19999999999999,520499029062300.6,139539.37840874126,1501887787856.4375
56.39999999999999,520496514595977.8,137558.18500586017,1500002170470.5515
56.599999999999994,520495177932299.3,135612.03816427075,1497887121114.7556
56.8,520494020669049.6,133700.19634814904,1495753802418.9116
57.0,520490587876796.6,131821.9362674,1494087447380.427
57.19999999999999,520486707554406.6,129976.55236622707,1492489562916.1191
57.39999999999999,520484189013748.8,128163.35632777796,1490617833280.0334
57.599999999999994,520482846786708.4,126381.67659430606,1488520352917.4487
57.8,520481683742176.6,124630.85790231025,1486404917683.6528
58.0,520478248047804.1,122910.26083213538,1484749036323.4849
58.19999999999999,520474365395860.0,121219.26137153429,1483160561434.6782
58.39999999999999,520471842822121.6,119557.25049271117,1481302624105.0474
58.599999999999994,520470495098218.0,117923.63374238764,1479222549896.4458
58.8,520469326342345.0,116317.83084444606,1477124829912.937
59.0,520465887765731.0,114739.275314721,1475479391724.5347
59.19999999999999,520462002794125.0,113187.41408752972,1473900315637.8389
59.39999999999999,520459476226712.9,111661.70715354636,1472056078334.52
59.599999999999994,520458123071052.8,110161.62720863454,1469993249890.9636
59.8,520456948672452.2,108686.65931327347,1467913079198.8433
