H2O2,OH,HO2
7.72590E+01,1.00000E+00,1.88940E+01
7.74980E+01,1.41420E+00,1.91830E+01
7.70910E+01,1.00000E+00,1.93390E+01
7.71230E+01,1.00000E+00,1.93650E+01
7.61380E+01,1.41420E+00,1.91310E+01
7.75950E+01,1.00000E+00,1.87080E+01
7.67140E+01,1.00000E+00,1.81110E+01
7.72330E+01,1.00000E+00,1.91570E+01
7.75440E+01,1.41420E+00,1.86010E+01
7.73950E+01,1.41420E+00,1.88410E+01
7.70060E+01,1.00000E+00,1.82210E+01
7.68310E+01,1.00000E+00,1.95190E+01
7.79620E+01,1.41420E+00,1.79440E+01
7.80060E+01,1.00000E+00,1.89210E+01
7.75180E+01,1.00000E+00,1.92350E+01
7.69740E+01,1.00000E+00,1.88680E+01
7.72720E+01,1.00000E+00,1.81930E+01
7.77620E+01,1.41420E+00,1.82760E+01
7.69290E+01,1.00000E+00,1.80280E+01
7.62890E+01,1.41420E+00,1.82760E+01
7.72010E+01,1.00000E+00,1.82480E+01
7.71560E+01,1.00000E+00,1.84660E+01
7.74340E+01,1.00000E+00,1.81380E+01
7.69480E+01,1.00000E+00,1.84390E+01
7.66090E+01,1.73220E+00,1.86010E+01
7.63680E+01,1.00000E+00,1.86010E+01
7.74080E+01,1.73220E+00,1.83300E+01
7.80450E+01,1.41420E+00,1.86280E+01
7.61640E+01,1.00000E+00,1.85200E+01
7.71560E+01,1.00000E+00,1.76350E+01
7.69480E+01,1.00000E+00,1.73780E+01
7.67330E+01,1.00000E+00,1.79720E+01
7.68640E+01,1.00000E+00,1.72630E+01
7.70450E+01,1.00000E+00,1.78040E+01
7.72330E+01,1.00000E+00,1.74070E+01
7.64530E+01,1.00000E+00,1.81660E+01
7.77240E+01,1.00000E+00,1.77760E+01
7.68050E+01,1.00000E+00,1.82210E+01
7.67920E+01,1.00000E+00,1.71170E+01
7.63680E+01,1.41420E+00,1.74640E+01
