X0,k_HO2_wall,k_OH_wall,S_HO2,S_OH,cost,success,ier,mesg
4478622199411.823,4.468934667837463,12.024042872465245,2.4033462285833997e-10,2.5082720441927742e-11,1676529.84981,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4494149848329.616,4.039168728972502,10.94467779089021,2.3641677981594743e-10,3.245666440269174e-11,1683186.267,True,2,The relative error between two consecutive iterates is at most 0.000000
4336040570861.5127,4.600098915619413,10.97822174366793,2.4580686634119783e-10,3.3857206144019805e-11,1455205.1393,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4484504763148.603,4.351463235352225,10.6639255533048,2.4068425305411357e-10,3.1445957731440025e-11,1418042.05341,True,2,The relative error between two consecutive iterates is at most 0.000000
4652201341433.587,4.533064318045058,9.659735031055499,2.365288251138114e-10,3.312922801940868e-11,1362074.84907,True,2,The relative error between two consecutive iterates is at most 0.000000
4738799729831.272,4.356165677011543,9.876186826634429,2.3188116782803704e-10,3.3554659199246785e-11,1447721.94866,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4737584474043.603,4.348225857839914,9.420959558353776,2.3175164568006893e-10,3.462981111408739e-11,1340804.35927,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000
4583305559574.308,4.248763431525811,9.291423345988834,2.357777861211678e-10,3.617972005639463e-11,1532636.95563,True,2,The relative error between two consecutive iterates is at most 0.000000
4021744198673.6006,4.4040774894380075,11.536903414425074,2.555478233443137e-10,3.173838138165268e-11,1697380.54164,True,2,The relative error between two consecutive iterates is at most 0.000000
5099330653132.614,4.133501179040665,10.974861308940584,2.2231074208706555e-10,3.064407540802194e-11,1686058.68952,True,2,The relative error between two consecutive iterates is at most 0.000000
4496681813036.193,4.288512086592506,9.6143329110994,2.3906643089956895e-10,3.1315895763617925e-11,1325924.23134,True,2,The relative error between two consecutive iterates is at most 0.000000
4941353493132.046,4.045435515459848,9.774319857481968,2.24759484341765e-10,2.6747671110486923e-11,1410926.61527,True,2,The relative error between two consecutive iterates is at most 0.000000
4089877675663.072,4.6839158936392815,10.532195544773183,2.552229803063678e-10,3.842110472668854e-11,1580858.01752,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4837459990059.416,4.324851099298266,9.542925254571093,2.300226718090192e-10,3.011005961602346e-11,1643877.15331,True,2,The relative error between two consecutive iterates is at most 0.000000
4719269953614.155,4.102956129417883,11.25309771691292,2.3171809720808437e-10,3.120791290394072e-11,1520751.59529,True,2,The relative error between two consecutive iterates is at most 0.000000
4383755726722.36,4.350060997717559,10.405263499789225,2.4170108251674634e-10,3.888176700140764e-11,1569229.10862,True,2,The relative error between two consecutive iterates is at most 0.000000
4768998627282.428,4.553027030376202,9.99744872463644,2.33574902180349e-10,3.2033875313715575e-11,1562025.07749,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4646080922343.257,4.5832985594091795,9.810915733225796,2.3694773307910287e-10,3.2163120391326094e-11,1504174.22585,True,2,The relative error between two consecutive iterates is at most 0.000000
4670743437481.735,4.309149385727292,11.335193874480526,2.3604894766396673e-10,3.9598483614698135e-11,1699094.68901,True,2,The relative error between two consecutive iterates is at most 0.000000
4183957036146.247,4.951688980625067,11.432825848181194,2.527149143325731e-10,3.666832582407794e-11,1390599.78893,True,2,The relative error between two consecutive iterates is at most 0.000000
4531786485892.156,4.75577947495194,9.241325517117833,2.396384852801343e-10,2.9236786805216964e-11,1430586.90104,True,2,The relative error between two consecutive iterates is at most 0.000000
4792630711269.267,4.126651764561828,9.854918384568363,2.2976193490355322e-10,3.3058765820156296e-11,1597279.03443,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4782631372898.115,4.4555879095487745,9.700803922230124,2.3142323964691614e-10,3.1213904770735016e-11,1460874.34748,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4438030264766.032,4.406432460224567,10.98055262297017,2.4107902710956043e-10,3.0493033245133594e-11,1818452.92913,True,2,The relative error between two consecutive iterates is at most 0.000000
4652830341002.748,4.43935140803423,9.891561291226228,2.352536968049453e-10,3.3212498307009566e-11,1812540.8429,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4917939811592.988,4.112568337935051,10.022671268764494,2.2667277446527965e-10,3.548958758256066e-11,1335710.99564,True,2,The relative error between two consecutive iterates is at most 0.000000
4805281542746.18,4.33525455561047,11.490425495608356,2.3007046524976413e-10,3.26170284035507e-11,1734659.07139,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4701173864283.726,4.2443439010592545,9.944385915596827,2.321095894015407e-10,3.32468637020506e-11,1507047.62281,True,2,The relative error between two consecutive iterates is at most 0.000000
4569771614033.299,4.537517252669526,11.08525316364718,2.4074191763986027e-10,3.3322852121293125e-11,1401425.97091,True,2,The relative error between two consecutive iterates is at most 0.000000
4362798190415.2666,4.0489948217528235,10.948626803520524,2.4212095902413106e-10,3.2845177603534145e-11,1608888.02537,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4830965431893.917,4.554241384606456,10.533436147284668,2.3138593220387318e-10,3.270686098549276e-11,1832482.25596,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000
4780669114121.123,4.315094705876755,9.0845942451308,2.3055287355144442e-10,3.177315892828541e-11,1536394.84128,True,2,The relative error between two consecutive iterates is at most 0.000000
4683691329430.267,4.454730578161894,10.221951235937265,2.349636743881629e-10,3.237714056486676e-11,1520258.57104,True,2,The relative error between two consecutive iterates is at most 0.000000
4647308746282.275,4.168125638769766,10.691426939339058,2.3412336158432285e-10,3.5309814709780634e-11,1389504.49509,True,2,The relative error between two consecutive iterates is at most 0.000000
4264264952325.3335,4.511770351643172,11.418206335603994,2.475020582959221e-10,3.363609074508119e-11,1402504.93238,True,1,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000
4635791734896.238,4.6685076610808185,11.986067528709308,2.368304004067901e-10,3.617915390379029e-11,1453133.74286,True,2,The relative error between two consecutive iterates is at most 0.000000
4808223990141.24,4.327307268810316,9.425409291914049,2.2980556538864347e-10,3.0684411442297976e-11,1591817.1188,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4708224817244.625,4.426155268737011,10.5997801422202,2.3275131488621437e-10,3.2032727285345325e-11,1609806.48494,True,3,Both actual and predicted relative reductions in the sum of squares  are at most 0.000000 and the relative error between two consecutive iterates is at   most 0.000000
4724269808105.489,4.307957646519824,9.911456224056254,2.3147059770701226e-10,3.035317082010065e-11,1389119.88267,True,2,The relative error between two consecutive iterates is at most 0.000000
